dep_lat,dep_lon,arr_lat,arr_lon,flight_nb
25.253,55.364,35.416,51.152,1
35.416,51.152,25.253,55.364,2
25.253,55.364,33.821,35.488,3
33.821,35.488,25.253,55.364,4
25.253,55.364,24.907,67.161,5
24.907,67.161,25.253,55.364,6
25.253,55.364,31.143,121.805,7
31.143,121.805,25.253,55.364,8
25.253,55.364,52.454,-1.748,9
52.454,-1.748,25.253,55.364,10
25.253,55.364,24.907,67.161,11
24.907,67.161,25.253,55.364,12
25.253,55.364,11.137,75.955,13
11.137,75.955,25.253,55.364,14
25.253,55.364,51.471,-0.462,15
51.471,-0.462,25.253,55.364,16
25.253,55.364,-6.878,39.203,17
-6.878,39.203,25.253,55.364,18
25.253,55.364,48.11,16.57,19
48.11,16.57,25.253,55.364,20
25.253,55.364,29.227,47.969,21
29.227,47.969,25.253,55.364,22
25.253,55.364,23.077,72.635,23
23.077,72.635,25.253,55.364,24
25.253,55.364,-29.614,31.12,25
-29.614,31.12,25.253,55.364,26
25.253,55.364,52.454,-1.748,27
52.454,-1.748,25.253,55.364,28
25.253,55.364,10.152,76.402,29
10.152,76.402,25.253,55.364,30
25.253,55.364,40.08,116.585,31
40.08,116.585,25.253,55.364,32
25.253,55.364,36.851,10.227,33
36.851,10.227,25.253,55.364,34
25.253,55.364,24.958,46.699,35
24.958,46.699,25.253,55.364,36
25.253,55.364,55.037,-1.692,37
55.037,-1.692,25.253,55.364,38
25.253,55.364,17.231,78.43,39
17.231,78.43,25.253,55.364,40
25.253,55.364,34.875,33.625,41
34.875,33.625,35.857,14.478,42
35.857,14.478,34.875,33.625,43
34.875,33.625,25.253,55.364,44
25.253,55.364,28.567,77.103,45
28.567,77.103,25.253,55.364,46
25.253,55.364,1.35,103.994,47
1.35,103.994,-27.384,153.117,48
-27.384,153.117,1.35,103.994,49
1.35,103.994,25.253,55.364,50
25.253,55.364,26.471,49.798,51
26.471,49.798,25.253,55.364,52
25.253,55.364,34.427,135.244,53
34.427,135.244,25.253,55.364,54
25.253,55.364,51.148,-0.19,55
51.148,-0.19,25.253,55.364,56
25.253,55.364,34.875,33.625,57
34.875,33.625,35.857,14.478,58
35.857,14.478,34.875,33.625,59
34.875,33.625,25.253,55.364,60
25.253,55.364,35.765,140.386,61
35.765,140.386,25.253,55.364,62
25.253,55.364,45.631,8.728,63
45.631,8.728,25.253,55.364,64
25.253,55.364,48.354,11.786,65
48.354,11.786,25.253,55.364,66
25.253,55.364,35.765,140.386,67
35.765,140.386,25.253,55.364,68
25.253,55.364,7.181,79.884,69
7.181,79.884,25.253,55.364,70
25.253,55.364,26.471,49.798,71
26.471,49.798,25.253,55.364,72
25.253,55.364,-37.673,144.843,73
-37.673,144.843,-37.008,174.792,74
-37.008,174.792,-37.673,144.843,75
-37.673,144.843,25.253,55.364,76
25.253,55.364,29.227,47.969,77
29.227,47.969,25.253,55.364,78
25.253,55.364,28.567,77.103,79
28.567,77.103,25.253,55.364,80
25.253,55.364,52.454,-1.748,81
52.454,-1.748,25.253,55.364,82
25.253,55.364,10.152,76.402,83
10.152,76.402,25.253,55.364,84
25.253,55.364,51.471,-0.462,85
51.471,-0.462,25.253,55.364,86
25.253,55.364,51.148,-0.19,87
51.148,-0.19,25.253,55.364,88
25.253,55.364,35.416,51.152,89
35.416,51.152,25.253,55.364,90
25.253,55.364,51.471,-0.462,91
51.471,-0.462,25.253,55.364,92
25.253,55.364,19.089,72.868,93
19.089,72.868,25.253,55.364,94
25.253,55.364,13.681,100.747,95
13.681,100.747,25.253,55.364,96
25.253,55.364,35.416,51.152,97
35.416,51.152,25.253,55.364,98
25.253,55.364,-26.139,28.246,99
-26.139,28.246,25.253,55.364,100
25.253,55.364,13.681,100.747,101
13.681,100.747,-33.946,151.177,102
-33.946,151.177,-43.489,172.532,103
-43.489,172.532,-33.946,151.177,104
-33.946,151.177,13.681,100.747,105
13.681,100.747,25.253,55.364,106
25.253,55.364,24.907,67.161,107
24.907,67.161,25.253,55.364,108
25.253,55.364,-1.319,36.928,109
-1.319,36.928,25.253,55.364,110
25.253,55.364,-6.126,106.656,111
-6.126,106.656,25.253,55.364,112
25.253,55.364,17.231,78.43,113
17.231,78.43,25.253,55.364,114
25.253,55.364,29.227,47.969,115
29.227,47.969,25.253,55.364,116
